ingredients,Refuse (%),Water (g),Energy (Kcal),Protein (g),Fat (g),Ash (g),Fiber (g),Carboyhdrates (g),Sodium (mg),Potassium (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Vitamin A ugRE,Vitamin C (mg),Thiamin (mg),Riboflavin (mg),category
Barley  grains,0,8.8,335,10.7,1.5,2.9,6.5,69.6,55,299,104,184,26,4.63,2.25,0.41,0,0,0.3,0.11,cereal
Corn  grains (white),0,10.7,364,10.2,4,1.3,1.9,71.9,8,125,27,254,25,2.42,1.7,0.21,0,0,0.37,0.12,cereal
Corn grains (yellow),0,10.1,368,12.7,5.5,1.8,2.9,67,10,161,26,239,30,2.6,1.5,0.19,120,0,0.39,0.11,cereal
Corn  flakes,0,5,373,6.2,2.1,2.4,2,82.3,464,139,15,44,11,1.4,1,0.23,0,0,0.5,0.09,cereal
Corn kernels on cob  grilled,39,56.9,161,4,1,1,3,34.1,4,69,7,0,0,1.02,1.2,0.14,0,8,0,0,cereal
 Wheat  grains,0,12.1,344,12,1.6,1.6,2.4,70.3,10,315,35,412,88,3.1,2.9,0.33,0,0,0.61,0.12,cereal
 Wheat  Koskos plain,0,47,213,5.8,0.7,0.4,0.3,45.8,4,62,17,0,0,0.41,0.6,0.05,0,0,0,0,cereal
Wheat  Koskos sweet,0,40.6,283,5.8,9.8,0.4,0.5,42.9,7,65,15,92,0,0.4,0.58,0.06,0,0,0,0,cereal
 Bread  Baladi,0,35.3,254,8.8,1,1.1,1.3,52.5,338,236,42,134,14,2.89,1.75,0.14,0,0,0.29,0.1,bakery
Bread Baladi(wheat/corn),0,35.1,256,9,1.3,1.2,1.4,52,369,208,47,197,13,3,2,0.19,0,0,0.31,0.12,bakery
Bread  bran dry (sin),0,5,369,12.3,2.1,2.1,3.3,75.2,449,430,42,0,0,4.5,2.9,0.4,0,0,0,0,bakery
Bread  buns with sesame,0,32.8,273,12.5,3,1.6,1.1,49,330,0,60,0,0,2.1,0.85,0.52,0,0,0,0,bakery
Bread corn/ wheat (1:1),0,12,355,9.9,2.5,1.3,1.1,73.2,452,0,53,0,0,2.4,0,0,0,0,0.29,0.12,bakery
Bread corn/ wheat (1:2),0,10,360,10.1,2.8,1.5,1.9,73.7,483,234,65,147,19,3.2,1.8,0.18,0,0,0.28,0.12,bakery
Bread corn/ wheat (2:1),0,12.5,351,9.8,2.9,1.5,2,71.3,474,0,55,0,0,2.5,0,0,0,0,0.28,0.11,bakery
Bread french,0,28.8,285,8.7,1,0.9,0.3,60.3,296,125,14,94,18,0.7,1.1,0.12,0,0,0.1,0.05,bakery
Bread labanese,0,22,311,9.2,0.7,0.9,0.3,66.9,307,104,15,85,17,0.72,1.2,0.1,0,0,0.11,0.05,bakery
 Bread  Lebanese (brown),0,25.8,293,9.4,2.1,1.1,2.5,59.1,336,186,27,0,0,3.94,2,0.44,0,0,0,0,bakery
 Bread  Shami,0,27.2,292,8.6,0.9,0.8,0.2,62.3,350,120,16,82,16,0.7,1,0.1,0,0,0.1,0.05,bakery
 Bread  Shamsy,0,35,259,9.2,1.1,1,0.6,53.1,375,175,44,120,14,2.1,1.9,0.1,0,0,0.27,0.11,bakery
 Bread sliced(brown toast),0,34.5,257,8.9,1.9,1.2,2.4,51.1,405,201,49,185,18,2.86,1.1,0.59,0,0,0.2,0.08,bakery
 Bread sliced(white toast),0,33,270,8.4,1.5,1,0.5,55.6,400,152,30,0,0,1,0.9,0,0,0,0.18,0.05,bakery
Bread  sticks with sesame,0,6.1,379,11.7,2.9,1.5,1.3,76.5,410,203,79,0,0,2.15,1.99,0.42,0,0,0,0,bakery
 Pie  Fiteer  Meshaltet,0,35.5,402,6.7,30,1.1,0.5,26.2,300,0,25,0,0,0.4,0.45,0,0,0,0,0,bakery
 Pie  Fitcer  Market,0,28.6,341,7.6,12,0.7,0.4,50.7,256,0,15,0,0,0.6,0,0,0,0,0,0,bakery
Sandwiches  cheese white,0,57,180,7.5,4,2,1,28.5,496,190,196,0,17,1.1,1.1,0.04,0,0,0,0,bakery
Sandwiches  cheese yellow,0,40,262,10.5,7,2,1.2,39.3,684,183,202,-5.8,20,0.99,1.3,0.01,0,0,0,0,bakery
 Sandwiches  fried eggplant,0,56,123,4,5.5,1.8,0.8,31.9,615,386,27,0,12,1.35,0.96,0.06,0,0,0,0,bakery
Sandwiches  fried Taamia,0,53,205,6.1,5.8,1.6,1.3,32.2,587,273,33,0,30,2.6,1.36,0.14,0,0,0,0,bakery
Sandwiches  stewed Foul,0,56.2,173,5,2.2,1.8,1.5,33.3,669,300,43,0,29,2.05,1.24,0.12,0,0,0,0,bakery
 Potatoes,11,80.5,73,1.6,0.1,0.8,0.6,16.4,8,420,7,46,16,0.6,0.32,0.15,2,18,0.09,0.04,tubers
Potatoes  chips,0,1.5,557,5.5,37.5,4.5,1.6,49.4,654,1100,37,143,53,1.7,0.9,0.25,0,0,0.21,0.05,tubers
Potatoes  fries,0,45.2,281,4.1,14.5,1.8,1,33.4,290,627,13,0,0,1.2,0.3,0,0,0,0,0,tubers
Potatoes  cooked with tomato,0,76.6,104,1.2,3.5,1.4,0.4,16.9,369,394,10,72,0,0.7,0.5,0,0,0,0,0,tubers
Beans  broad,10.3,326,24.1,1.5,3.2,6.9,54,35,724,85,386,148,5.8,3.14,0.29,9,5,0.48,0.28,0,legumes
Beans  broad (Bisara),68,130,6,4,1.6,3,17.4,290,187,25,0,0,1.2,0.2,0,0,8,0,0,0,legumes
Beans  broad  decorticated,10.4,346,25.9,2,2.7,2.8,56.2,39,640,92,359,126,4.8,2.9,0.18,13,2,0.41,0.13,0,legumes
Beans  broad (Foul)  canned,70,132,6.1,5,1.1,2.1,15.7,333,275,44,175,49,2.7,0.9,0,0,0,0.12,0.08,0,legumes
Beans  broad (FoulMedames),73.7,98,5.6,0.7,0.8,2,17.2,24,218,37,183,0,2.4,1,0,0,0,0,0,0,legumes
Beans  broad (Menabet),61,145,10.4,0.7,0.8,2.9,24.2,14,290,34,154,59,2.3,1.05,0.12,5,3,0.2,0.22,0,legumes
Beans  broad (Taamia)  fried,32.7,355,10.9,20.1,2.2,1.5,32.6,524,258,24,118,41,2.7,1.16,0.4,0,6,0,0,0,legumes
Soybeans,0,9.3,426,31.7,19.9,4.7,4.3,30.1,21,1618,305,563,258,7.5,2,0,0,0,0.8,0.32,legumes
Halawa Tehinia,0,2.1,520,11.2,27.5,1,1.2,57,22,95,42,386,20,3,2.2,0.4,0,0,0.42,0.12,sweet
Halawa Tehinia with nuts,0,1.8,519,12.1,28,1.5,2,54.6,48,0,76,0,0,3.2,0,0,0,0,0,0,sweet
Honey,0,17.4,329,0.3,0,0.3,0,82,6,50,11,10,4,0.6,0.08,0.04,0,3,0.02,0.05,sweet
Jams,0,28.8,283,0.7,0.1,0.4,0.3,69.7,14,95,16,10,9,1.2,0.03,0.2,0,9,0.02,0.04,sweet
Molasses,0,26,280,0,0,4,0,70,88,1400,29,0,0,5.71,0.68,1.8,0,0,0.07,0.13,sweet
Beef  Basterma,0,47.2,201,28.6,5.8,8.3,1.6,8.5,2200,285,105,318,36,6.9,7.5,0.72,13,0,0.15,0.27,meat
Beef  Basterma meat,0,58.6,156,29.9,4,7.5,0,0,1500,212,45,270,29,4,7.1,0.15,0,0,0,0,meat
Beef  meat corned (canned),0,60,213,24.8,11.8,1.5,0,1.9,880,152,12,150,17,3.3,4.5,0.26,0,0,0.02,0.18,meat
Beef  luncheon,0,66.3,155,16.3,7.5,3.1,1.2,5.6,1250,222,25,200,17,2.6,4,0.1,0,0,0.25,0.24,meat
Chicken  luncheon,0,67.5,144,18,5.5,2,1.5,5.5,1003,300,20,0,0,1.06,0.91,0,0,0,0,0,meat
 Turkey   luncheon,0,68,129,20,3.5,3,1.1,4.4,996,315,87,0,34,0.96,1.33,0,0,0,0,0,meat
Eggs   chicken   whole,12,75.2,149,12.6,10.8,1.1,0,0.3,155,130,62,218,15,2.5,1.5,0.14,128,0,0.14,0.36,eggs
Omelet ( ljaa ),0,74.1,148,9.9,10.5,1.5,0.5,3.5,452,143,42,162,0,1.5,0.63,0,0,0,0,0,eggs
 Tuna canned,0,54.2,267,24.6,18.5,2.3,0,0.4,450,285,10,189,31,2.75,0.4,0.2,28,0,0.04,0.1,fish
Cheese  camembert,0,50.5,301,20,23.9,4.1,0,1.5,1019,112,400,287,18,0.65,3.4,0.09,280,0,0.03,0.69,dairy
Cheese   cheddar,0,35.8,406,26,32.9,3.8,0,1.5,725,90,724,512,42,0.95,3,0.03,305,0,0.04,0.46,dairy
 Cheese   gouda,0,41,371,24.5,30,3.7,0,0.8,646,160,765,570,0,0.3,3.5,0,250,0,0,0,dairy
Cheese   kareesh,0,77.5,100,13,3.5,1.9,0,4.1,130,95,300,161,23,0.41,2.4,0.04,12,0,0.03,0.19,dairy
 Cheese   kareesh low fat ,0,76.5,91,19,0.5,1.3,0,2.7,145,115,388,174,28,0.33,2,0.04,0,0,0.02,0.24,dairy
Cheese   kareesh ( Mish ),0,72.8,93,14,3,7.8,0,2.4,4500,118,360,276,32,0.5,1.44,0.05,0,0,0.1,0.32,dairy
 Cheese   parmesan,0,29.5,399,35,27.5,5.1,0,2.9,982,144,1016,715,0,0.4,3.54,0.05,356,0,0.04,0.52,dairy
 Cheese   processed,0,46.9,324,19,25,3.4,0,5.7,1160,93,710,542,30,0.5,2.4,0.09,205,0,0.03,0.26,dairy
Cheese   spread,0,51.5,289,15.9,22.9,4.9,0,4.81,1027,190,420,480,25,0.3,2.1,0,150,0,0.05,0.36,dairy
Cheese   white ,0,53.4,256,16.3,19.8,7.3,0,3.2,2769,115,456,273,45,0.2,1.9,0.07,166,0,0.08,0.37,dairy
Cheese   white half cream ,0,69.5,151,13,8.9,4,0,4.6,805,146,357,175,32,0.25,1.4,0.08,95,0,0.1,0.35,dairy
Cheese   Roquefort ,0,40.5,361,22.3,29,5.5,0,2.7,1390,207,415,385,36,0.8,2.34,0.09,295,0,0.05,0.4,dairy
 Cream   whipping,0,56.6,353,3,36.4,0.7,0,3.3,40,76,81,25,5,0.25,0.2,0.08,275,0,0.02,0.12,dairy
Fermented milk,0,87.7,62,3.8,3.2,0.8,0,4.5,51,144,122,90,10,0.05,0.31,0.05,38,0,0.23,1.03,dairy
Fermented skim milk,0,88.4,46,4.9,0.8,1,0,4.9,54,150,132,95,13,0.05,0.35,0.03,0,0,0.02,0.12,dairy
Milk   buffalo,0,82.5,102,4.2,7.1,0.8,0,5.4,52,142,180,86,17,0.2,0.22,0.01,22,3,0.1,0.35,dairy
Milk   cow,0,87.8,64,3.3,3.7,0.8,0,4.4,54,149,123,87,17,0.05,0.3,0.02,35,0,0.04,0.19,dairy
Milk   chocolate,0,81.2,80,3.2,1.7,1,0,12.9,64,131,122,87,18,0.31,0.41,0.8,24,0,0.04,0.16,dairy
 Milk   full cream,0,87.8,64,3.3,3.5,0.7,0,4.7,48,142,120,92,15,0.06,0.4,0.01,37,0,0.04,0.17,dairy
Milk   fruit,0,82,76,3.2,1.7,1.1,0,12,59,175,125,80,17,0.04,0.41,0.04,22,2,0.07,0.19,dairy
Milk   half cream,0,89.1,48,3.4,1.5,0.9,0,5.1,52,153,128,88,17,0.05,0.4,0.02,23,0,0.08,0.2,dairy
Milk   low fat skimmed,0,89.6,41,3.5,0.6,1,0,5.3,50,143,126,95,16,0.05,0.4,0.03,0,0,0.1,0.21,dairy
 Milk   powder  skim,0,5,362,37,1.5,6.5,0,50,467,1201,1045,803,95,0.45,4.3,0,0,5,0.45,2.1,dairy
Milk  powder whole,0,2.7,497,26.7,26.2,5.7,0,38.7,350,1450,930,850,105,0.4,3.53,0.2,353,10,0.4,1.4,dairy
Yoghurt,0,87,64,3.4,3.2,0.9,0,5.5,62,180,168,101,16,0.2,0.2,0.02,30,0,0.06,0.18,dairy
Yoghurt  low fat,0,87.5,50,4,0.9,1.2,0,6.4,60,185,170,105,14,0.2,0.22,0.01,0,0,0.07,0.19,dairy
Yoghurt  fruits,0,82.5,68,3,1.2,1.2,0.9,11.24,85,199,162,140,15,0.25,0.7,0.07,9,3,0.08,0.23,dairy
